Sl. No.,State/UT,Total Fair Price Shops,Operational with ePOS devices,% FPS Automation
1,Andaman and Nicobar Islands,416,416,100
2,Andhra Pradesh,29791,29791,100
3,Arunachal Pradesh,1680,1680,100
4,Assam,34300,34286,100
5,Bihar,50951,50951,100
6,Chandigarh,NA,NA,NA
7,Chhattisgarh,13675,13675,100
8,Dadra and Nagar Haveli and Daman and Diu,114,114,100
9,Delhi,1993,1993,100
10,Goa,452,452,100
11,Gujarat,16949,16949,100
12,Haryana,9434,9434,100
13,Himachal Pradesh,5219,5155,99
14,Jammu and Kashmir,6737,6737,100
15,Jharkhand,25228,25228,100
16,Karnataka,20403,20325,100
17,Kerala,13913,13905,100
18,Ladakh,404,404,100
19,Lakshadweep,39,39,100
20,Madhya Pradesh,27377,27127,99
21,Maharashtra,52642,52642,100
22,Manipur,2339,2339,100
23,Meghalaya,4735,4727,100
24,Mizoram,1258,1258,100
25,Nagaland,1783,1774,99
26,Odisha,12044,12044,100
27,Puducherry,NA,NA,NA
28,Punjab,18150,18150,100
29,Rajasthan,27062,25579,95
30,Sikkim,1312,1312,100
31,Tamil Nadu,34805,34805,100
32,Telangana,17246,17246,100
33,Tripura,2057,2057,100
34,Uttarakhand,9059,9059,100
35,Uttar Pradesh,79216,79216,100
36,West Bengal,20476,20476,100
National Summary,National Summary,543259,541345,99.6
